13:59:07:220 | 105 | CSIO2_TX CH11 | 60000045 | RADIO_ALT_1 | Disp Rad Alt: 0 Feet | 00 (Always) | 03 (Normal)
13:59:07:220 | 105 | CSIO2_TX CH25 | 60000045 | RADIO_ALT_1 | Disp Rad Alt: 0 Feet | 00 (Always) | 03 (Normal)
13:59:07:220 | 105 | CSIO2_TX CH27 | 60000045 | RADIO_ALT_1 | Disp Rad Alt: 0 Feet | 00 (Always) | 03 (Normal)
13:59:07:220 | 150 | ELT_RX CH04  | 00000068 | TIME | Seconds: 0 Seconds, Minutes: 0 Minutes, Hours: 0 Hours | 00 (Always) | 00 (Failur)
13:59:07:221 | 203 | ELT_RX CH04  | 00000083 | ALTITUDE_PRESSURE | Pres Alt: 0 Feet | 00 (Always) | 00 (Failur)
13:59:07:221 | 150 | ELT_RX CH20  | 00000068 | TIME | Seconds: 0 Seconds, Minutes: 0 Minutes, Hours: 0 Hours | 00 (Always) | 00 (Failur)
13:59:07:221 | 352 | OMS_TX CH00  | 00EC08EA | ADT1_STATUS_WORD_1 | ADT1 Fault: False, ADT1 Aircraft Data Bus 1 1 Fault: True, ADT1 Aircraft Data Bus 1 2 Fault: False, ADT1 Aircraft Data Bus 2 1 Fault: False, ADT1 Aircraft Data Bus 2 2 Fault: False, ADT1 ELT Input Bus Fault: False, ADT1 Cross Side Input Bus Fault: False, ADT1 Input Power Source ESS2: False, ADT1 Input Power Source DC1: True, ADT1 Software Mismatch: True, ADT1 PDI Version Mismatch: False, ADT1 I2C 2 IO Expander Fault: True, ADT1 I2C 2 EEPROM Fault: True, ADT1 SPI 2 A429 Fault: True, ADT1 SPI 1 Flash Storage Fault: False, ADT1 ADC Fault: False, ADT1 EMIF External SRAM: False, ADT1 Core Coupled Memory Fault: False, ADT1 CPU Fault: False | 00 (Always) | 00 (Normal)
13:59:07:221 | 260 | ELT_RX CH04  | 600000B0 | DATE_INFORMATION | YearOnes: 0 YearOnes, YearTens: 0 YearTens, MonthOnes: 0 MonthOnes, MonthTens: 0 MonthTens, DayOnes: 0 DayOnes, DayTens: 0 DayTens | 00 (Always) | 03 (Normal)
13:59:07:221 | 203 | ELT_RX CH20  | 00000083 | ALTITUDE_PRESSURE | Pres Alt: 0 Feet | 00 (Always) | 00 (Failur)
13:59:07:222 | 354 | OMS_TX CH00  | 000000EC | ADT1_STATUS_WORD_2 | ADT1 L2 RAM Fault: False, ADT1 W2 Disc Maint 01: False, ADT1 W2 Disc Maint 02: False, ADT1 W2 Disc Maint 03: False, ADT1 W2 Disc Maint 04: False, ADT1 W2 Disc Maint 05: False, ADT1 W2 Disc Maint 06: False, ADT1 W2 Disc Maint 07: False, ADT1 W2 Disc Maint 08: False, ADT1 W2 Disc Maint 09: False, ADT1 W2 Disc Maint 10: False, ADT1 W2 Disc Maint 11: False, ADT1 W2 Disc Maint 12: False, ADT1 W2 Disc Maint 13: False, ADT1 W2 Disc Maint 14: False, ADT1 W2 Disc Maint 15: False, ADT1 W2 Disc Maint 16: False, ADT1 W2 Disc Maint 17: False, ADT1 W2 Disc Maint 18: False | 00 (Always) | 00 (Normal)
13:59:07:222 | 103 | XTALK_RX CH05 | 134ACC43 | ADT_PDI_CRC | CRC SUM: 316083 | 00 (Always) | 00 (Normal)
13:59:07:222 | 310 | ELT_RX CH04  | 000000C8 | PRESENT_POSITION_LAT | PP Latitude: 0 Degrees | 00 (Failur)
13:59:07:222 | 356 | OMS_TX CH00  | 800000EE | ADT1_STATUS_WORD_3 | ADT1 W3 Disc Maint 00: False, ADT1 W3 Disc Maint 01: False, ADT1 W3 Disc Maint 02: False, ADT1 W3 Disc Maint 03: False, ADT1 W3 Disc Maint 04: False, ADT1 W3 Disc Maint 05: False, ADT1 W3 Disc Maint 06: False, ADT1 W3 Disc Maint 07: False, ADT1 W3 Disc Maint 08: False, ADT1 W3 Disc Maint 09: False, ADT1 W3 Disc Maint 10: False, ADT1 W3 Disc Maint 11: False, ADT1 W3 Disc Maint 12: False, ADT1 W3 Disc Maint 13: False, ADT1 W3 Disc Maint 14: False, ADT1 W3 Disc Maint 15: False, ADT1 W3 Disc Maint 16: False, ADT1 W3 Disc Maint 17: False, ADT1 W3 Disc Maint 18: False | 00 (Always) | 00 (Normal)
13:59:07:222 |  61 | XTALK_RX CH05 | 80001C31 | ADT_SW_PN | SW PN Char-1: 7, SW PN Char-2: 0, SW PN Char-3: 0, Supplier: False | 00 (Always) | 00 (Normal)
13:59:07:222 | 311 | ELT_RX CH04  | 800000C9 | PRESENT_POSITION_LON | PP Longitude: 0 Degrees | 00 (Failur)
13:59:07:222 | 352 | OMS_TX CH16  | 00EC08EA | ADT1_STATUS_WORD_1 | ADT1 Fault: False, ADT1 Aircraft Data Bus 1 1 Fault: True, ADT1 Aircraft Data Bus 1 2 Fault: False, ADT1 Aircraft Data Bus 2 1 Fault: False, ADT1 Aircraft Data Bus 2 2 Fault: False, ADT1 ELT Input Bus Fault: False, ADT1 Cross Side Input Bus Fault: False, ADT1 Input Power Source ESS2: False, ADT1 Input Power Source DC1: True, ADT1 Software Mismatch: True, ADT1 PDI Version Mismatch: False, ADT1 I2C 2 IO Expander Fault: True, ADT1 I2C 2 EEPROM Fault: True, ADT1 SPI 2 A429 Fault: True, ADT1 SPI 1 Flash Storage Fault: False, ADT1 ADC Fault: False, ADT1 EMIF External SRAM: False, ADT1 Core Coupled Memory Fault: False, ADT1 CPU Fault: False | 00 (Always) | 00 (Normal)
13:59:07:222 | 260 | ELT_RX CH20  | 600000B0 | DATE_INFORMATION | YearOnes: 0 YearOnes, YearTens: 0 YearTens, MonthOnes: 0 MonthOnes, MonthTens: 0 MonthTens, DayOnes: 0 DayOnes, DayTens: 0 DayTens | 00 (Always) | 03 (Normal)
13:59:07:222 | 353 | XTALK_RX CH05 | 80EC08EB | ADT2_STATUS_WORD_1 | ADT2 Fault: False, ADT2 Aircraft Data Bus 1 1 Fault: True, ADT2 Aircraft Data Bus 1 2 Fault: False, ADT2 Aircraft Data Bus 2 1 Fault: False, ADT2 Aircraft Data Bus 2 2 Fault: False, ADT2 ELT Input Bus Fault: False, ADT2 Cross Side Input Bus Fault: False, ADT2 Input Power Source ESS2: False, ADT2 Input Power Source DC1: True, ADT2 Software Mismatch: True, ADT2 PDI Version Mismatch: False, ADT2 I2C 2 IO Expander Fault: True, ADT2 I2C 2 EEPROM Fault: True, ADT2 SPI 2 A429 Fault: True, ADT2 SPI 1 Flash Storage Fault: False, ADT2 ADC Fault: False, ADT2 EMIF External SRAM: False, ADT2 Core Coupled Memory Fault: False, ADT2 CPU Fault: False | 00 (Always) | 00 (Normal)
13:59:07:223 | 354 | OMS_TX CH16  | 000000EC | ADT1_STATUS_WORD_2 | ADT1 L2 RAM Fault: False, ADT1 W2 Disc Maint 01: False, ADT1 W2 Disc Maint 02: False, ADT1 W2 Disc Maint 03: False, ADT1 W2 Disc Maint 04: False, ADT1 W2 Disc Maint 05: False, ADT1 W2 Disc Maint 06: False, ADT1 W2 Disc Maint 07: False, ADT1 W2 Disc Maint 08: False, ADT1 W2 Disc Maint 09: False, ADT1 W2 Disc Maint 10: False, ADT1 W2 Disc Maint 11: False, ADT1 W2 Disc Maint 12: False, ADT1 W2 Disc Maint 13: False, ADT1 W2 Disc Maint 14: False, ADT1 W2 Disc Maint 15: False, ADT1 W2 Disc Maint 16: False, ADT1 W2 Disc Maint 17: False, ADT1 W2 Disc Maint 18: False | 00 (Always) | 00 (Normal)
13:59:07:223 | 310 | ELT_RX CH20  | 000000C8 | PRESENT_POSITION_LAT | PP Latitude: 0 Degrees | 00 (Failur)
13:59:07:223 | 103 | XTALK_RX CH21 | 134ACC43 | ADT_PDI_CRC | CRC SUM: 316083 | 00 (Always) | 00 (Normal)
13:59:07:223 | 202 | ELT_RX CH04  | 84004082 | ADT_TIF | Xmtr CMD Matrix: Default, ADT Xmtr Enable Cmd: True, Distress Trigger Origin: None, ADT Sys Func Status: Disabled, ADT Sys Fail Status: True, AC Maint Commands: No ELT Self Test | 00 (Always) | 00 (Normal)
13:59:07:223 | 355 | XTALK_RX CH05 | 800000ED | ADT2_STATUS_WORD_2 | ADT2 L2 RAM Fault: False, ADT2 W2 Disc Maint 01: False, ADT2 W2 Disc Maint 02: False, ADT2 W2 Disc Maint 03: False, ADT2 W2 Disc Maint 04: False, ADT2 W2 Disc Maint 05: False, ADT2 W2 Disc Maint 06: False, ADT2 W2 Disc Maint 07: False, ADT2 W2 Disc Maint 08: False, ADT2 W2 Disc Maint 09: False, ADT2 W2 Disc Maint 10: False, ADT2 W2 Disc Maint 11: False, ADT2 W2 Disc Maint 12: False, ADT2 W2 Disc Maint 13: False, ADT2 W2 Disc Maint 14: False, ADT2 W2 Disc Maint 15: False, ADT2 W2 Disc Maint 16: False, ADT2 W2 Disc Maint 17: False, ADT2 W2 Disc Maint 18: False | 00 (Always) | 00 (Normal)
